Huc 8,Huc 8 Name,Huc 12,Huc 12 Name,Type,Category,Scientific Name,Common Name,Global Rank,State Rank,Fed Status,State Status,Habitat Description,Wet Habitat Flag
5130108,Caney Fork River,51301080705,Falling Water River Middle,Vascular Plant,Flowering Plant,Ceratophyllum echinatum,Prickly Hornwort,G4,S1,--,S,Slow Moving Streams,Aquatic
5130202,Cheatham Lake,51302020301,Madison Creek,Vascular Plant,Flowering Plant,Carex davisii,Davis' Sedge,G4,S1,--,S,"Bottomlands, Riparian Soils",Possible
5130202,Cheatham Lake,51302020302,Cumberland River-Dry Creek,Vascular Plant,Flowering Plant,Carex davisii,Davis' Sedge,G4,S1,--,S,"Bottomlands, Riparian Soils",Possible
5130202,Cheatham Lake,51302020304,Richland Creek,Vascular Plant,Flowering Plant,Carex davisii,Davis' Sedge,G4,S1,--,S,"Bottomlands, Riparian Soils",Possible
5130202,Cheatham Lake,51302020308,Cumberland River-Sams Creek,Vascular Plant,Flowering Plant,Carex davisii,Davis' Sedge,G4,S1,--,S,"Bottomlands, Riparian Soils",Possible
5130203,Stones River,51302030103,Cripple Creek,Vascular Plant,Flowering Plant,Eleocharis equisetoides,Horse-tail Spike-rush,G4,S1,--,E,Pond Edges And Open Wetlands,Possible
5130203,Stones River,51302030203,Lytle Creek,Vascular Plant,Flowering Plant,Eleocharis compressa,Flat-stemmed Spike-rush,G4,S1,--,S,Wet Limestone Glades,Possible
5130203,Stones River,51302030203,Lytle Creek,Vascular Plant,Flowering Plant,Echinacea pallida,Pale-purple Coneflower,G4,S1,--,E,Barrens And Dry Openings,Upland
5130203,Stones River,51302030204,Overall Creek,Vascular Plant,Flowering Plant,Eleocharis compressa,Flat-stemmed Spike-rush,G4,S1,--,S,Wet Limestone Glades,Possible
5130203,Stones River,51302030206,West Fork Stones River Lower,Vascular Plant,Flowering Plant,Eleocharis compressa,Flat-stemmed Spike-rush,G4,S1,--,S,Wet Limestone Glades,Possible
5130204,Harpeth River,51302040101,Harpeth River-Headwaters,Vascular Plant,Flowering Plant,Carex davisii,Davis' Sedge,G4,S1,--,S,"Bottomlands, Riparian Soils",Possible
5130204,Harpeth River,51302040502,Jones Creek Upper,Vascular Plant,Flowering Plant,Agalinis oligophylla,Ridge-stem False-foxglove,G4,S1,--,E,Barrens,Possible
5130204,Harpeth River,51302040503,Jones Creek Lower,Vascular Plant,Flowering Plant,Agalinis oligophylla,Ridge-stem False-foxglove,G4,S1,--,E,Barrens,Possible
5130205,Lake Barkley,51302050201,Yellow Creek Upper,Vascular Plant,Flowering Plant,Spiranthes ochroleuca,Yellow Nodding Ladies'-tresses,G4,S1,--,E,Moist Mountain Woods,Possible
5130205,Lake Barkley,51302050304,Dawson Creek-Cumberland River,Vascular Plant,Flowering Plant,Carex muskingumensis,Muskingum Sedge,G4,S1,--,E,Wet Woods,Possible
5130205,Lake Barkley,51302050305,Hurricane Creek-Cumberland River,Vascular Plant,Flowering Plant,Carex muskingumensis,Muskingum Sedge,G4,S1,--,E,Wet Woods,Possible
5130205,Lake Barkley,51302050305,Hurricane Creek-Cumberland River,Vascular Plant,Flowering Plant,Echinacea pallida,Pale-purple Coneflower,G4,S1,--,E,Barrens And Dry Openings,Upland
5130205,Lake Barkley,51302050308,Cummings Creek-Cumberland River,Vascular Plant,Flowering Plant,Carex muskingumensis,Muskingum Sedge,G4,S1,--,E,Wet Woods,Possible
5130206,Red River,51302060603,Spring Creek,Vascular Plant,Flowering Plant,Gratiola brevifolia,Sticky Hedge-hyssop,G4,S1,--,S,Wet Barrens And Marshes,Possible
6010102,South Fork Holston River,60101020601,Beidleman Creek-South Fork Holston River,Vascular Plant,Flowering Plant,Spiranthes ochroleuca,Yellow Nodding Ladies'-tresses,G4,S1,--,E,Moist Mountain Woods,Possible
6010103,Watauga River,60101030402,Doe River Upper,Vascular Plant,Flowering Plant,Spiranthes ochroleuca,Yellow Nodding Ladies'-tresses,G4,S1,--,E,Moist Mountain Woods,Possible
6010103,Watauga River,60101030501,Stoney Creek,Vascular Plant,Flowering Plant,Spiranthes ochroleuca,Yellow Nodding Ladies'-tresses,G4,S1,--,E,Moist Mountain Woods,Possible
6010104,Holston River,60101040301,Holston River-Buffalo Creek,Vascular Plant,Flowering Plant,Eurybia schreberi,Schreber's Aster,G4,S1,--,S,Mesic Woods & Seepage Slopes,Upland
6010107,Lower French Broad River,60101070206,West Prong Little Pigeon River Upper,Fungus,Liverwort,Hydrothyria venosa,Hydrothyria Lichen,G4,S1,--,T,Mountain Brooks,-
6010107,Lower French Broad River,60101070206,West Prong Little Pigeon River Upper,Vascular Plant,Flowering Plant,Spiranthes ochroleuca,Yellow Nodding Ladies'-tresses,G4,S1,--,E,Moist Mountain Woods,Possible
6010107,Lower French Broad River,60101070301,Porters Creek,Vascular Plant,Flowering Plant,Spiranthes ochroleuca,Yellow Nodding Ladies'-tresses,G4,S1,--,E,Moist Mountain Woods,Possible
6010107,Lower French Broad River,60101070302,Little Pigeon River Upper,Vascular Plant,Flowering Plant,Spiranthes ochroleuca,Yellow Nodding Ladies'-tresses,G4,S1,--,E,Moist Mountain Woods,Possible
6010107,Lower French Broad River,60101070305,Little Pigeon River Middle,Vascular Plant,Flowering Plant,Spiranthes ochroleuca,Yellow Nodding Ladies'-tresses,G4,S1,--,E,Moist Mountain Woods,Possible
6010108,Nolichucky,60101080403,South Indian Creek Lower,Vascular Plant,Flowering Plant,Spiranthes ochroleuca,Yellow Nodding Ladies'-tresses,G4,S1,--,E,Moist Mountain Woods,Possible
6010108,Nolichucky,60101080602,Little Rock Creek,Vascular Plant,Flowering Plant,Spiranthes ochroleuca,Yellow Nodding Ladies'-tresses,G4,S1,--,E,Moist Mountain Woods,Possible
6010108,Nolichucky,60101080605,North Indian Creek,Vascular Plant,Flowering Plant,Spiranthes ochroleuca,Yellow Nodding Ladies'-tresses,G4,S1,--,E,Moist Mountain Woods,Possible
6010108,Nolichucky,60101080606,Martin Creek-Nolichucky River,Vascular Plant,Flowering Plant,Calamagrostis porteri,Porter's Reedgrass,G4,S1,--,E,Rich Mountain Woods,Upland
6010108,Nolichucky,60101080608,Nolichucky River-Clark Creek,Vascular Plant,Fern and Fern Ally,Botrychium oneidense,Blunt-lobed Grapefern,G4,S1,--,S,Moist Forests,Possible
6010201,Ft. Loudoun/Watts Bar,60102010101,Little River-Crooked Creek,Vascular Plant,Flowering Plant,Eurybia schreberi,Schreber's Aster,G4,S1,--,S,Mesic Woods & Seepage Slopes,Upland
6010201,Ft. Loudoun/Watts Bar,60102010102,Little River-Goshen Prong,Vascular Plant,Flowering Plant,Spiranthes ochroleuca,Yellow Nodding Ladies'-tresses,G4,S1,--,E,Moist Mountain Woods,Possible
6010201,Ft. Loudoun/Watts Bar,60102010104,Little River-Hesse Creek,Vascular Plant,Flowering Plant,Eurybia schreberi,Schreber's Aster,G4,S1,--,S,Mesic Woods & Seepage Slopes,Upland
6010201,Ft. Loudoun/Watts Bar,60102010106,Little River Middle Prong,Vascular Plant,Flowering Plant,Eurybia schreberi,Schreber's Aster,G4,S1,--,S,Mesic Woods & Seepage Slopes,Upland
6010201,Ft. Loudoun/Watts Bar,60102010306,Tennessee River-Riley Creek,Invertebrate Animal,Crustacean,Cambarus deweesae,Valley Flame Crayfish,G4,S1,--,E,Primary burrower; open areas with high water tables; northern Ridge & Valley.,Aquatic
6010201,Ft. Loudoun/Watts Bar,60102010401,Piney Creek,Vascular Plant,Flowering Plant,Spiranthes ochroleuca,Yellow Nodding Ladies'-tresses,G4,S1,--,E,Moist Mountain Woods,Possible
6010204,Little Tennessee River,60102040201,Abrams Creek Upper,Vascular Plant,Fern and Fern Ally,Isoetes appalachiana,Appalachian Quillwort,G4,S1,--,E,"Streams, Seeps, And Wetlands",Aquatic
6010204,Little Tennessee River,60102040202,Abrams Creek Lower,Vascular Plant,Flowering Plant,Eurybia schreberi,Schreber's Aster,G4,S1,--,S,Mesic Woods & Seepage Slopes,Upland
6010204,Little Tennessee River,60102040301,North River,Fungus,Liverwort,Hydrothyria venosa,Hydrothyria Lichen,G4,S1,--,T,Mountain Brooks,-
6010204,Little Tennessee River,60102040302,Bald River,Vascular Plant,Flowering Plant,Calamagrostis porteri,Porter's Reedgrass,G4,S1,--,E,Rich Mountain Woods,Upland
6010204,Little Tennessee River,60102040302,Bald River,Nonvascular Plant,Non-Vascular Plant,Jungermannia fossombronioides,A Liverwort,G4,S1,--,S,Low Elevation Rocky Streams,Possible
